module_name	donor_id	sample_id	compartment	n_nuclei	n_genes_used_after_driver_removal	mean_module_score	median_module_score	sd_module_score	se_module_score	notes
MAGMA_top100	GSM7290912	GSM7290912	Injured_undifferentiated_epithelial	55	84	0.145163506248609	0.141726773940946	0.0647219272796767	0.00872710289406279	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_Bonferroni	GSM7290912	GSM7290912	Injured_undifferentiated_epithelial	55	78	0.151362988503776	0.150670822788793	0.0680565010940977	0.00917673673547403	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_FDR05	GSM7290912	GSM7290912	Injured_undifferentiated_epithelial	55	335	0.146313607080648	0.132931183309036	0.0550414521140656	0.00742178788901604	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_suggestive_p1e4	GSM7290912	GSM7290912	Injured_undifferentiated_epithelial	55	166	0.150790617145409	0.144847068173783	0.0640830122995768	0.00864095161572099	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top50	GSM7290913	GSM7290913	Loop_of_Henle_TAL	263	40	0.279107774629289	0.28060094357021	0.0799198453855214	0.00492806878256065	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top100	GSM7290913	GSM7290913	Loop_of_Henle_TAL	263	84	0.289639753787897	0.291004365496849	0.0537172790509215	0.00331234932572709	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_Bonferroni	GSM7290913	GSM7290913	Loop_of_Henle_TAL	263	78	0.297351096784979	0.297784307757286	0.0558052299694082	0.00344109789488758	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_FDR05	GSM7290913	GSM7290913	Loop_of_Henle_TAL	263	335	0.248310512716052	0.253665199323209	0.0404942762641158	0.00249698404403731	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_suggestive_p1e4	GSM7290913	GSM7290913	Loop_of_Henle_TAL	263	166	0.285090694583136	0.289780647971879	0.0477875124339632	0.00294670425206688	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top50	GSM7290910	GSM7290910	Pericyte_smooth_muscle	113	40	0.219736161367604	0.221196892364705	0.0821517621896938	0.00772818770663316	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top100	GSM7290910	GSM7290910	Pericyte_smooth_muscle	113	84	0.209627529703057	0.209696720149778	0.0592087420450606	0.00556988992325299	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_Bonferroni	GSM7290910	GSM7290910	Pericyte_smooth_muscle	113	78	0.214730116742887	0.208267399535686	0.0615822285348962	0.00579316875043447	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_FDR05	GSM7290910	GSM7290910	Pericyte_smooth_muscle	113	335	0.21133990582426	0.215770783619841	0.0430159157977087	0.00404659696635363	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_suggestive_p1e4	GSM7290910	GSM7290910	Pericyte_smooth_muscle	113	166	0.223098117349375	0.222683141078359	0.051619710778581	0.00485597391493369	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top50	GSM7290910	GSM7290910	Loop_of_Henle_TAL	29	40	0.277526226955217	0.289105342235592	0.0710470562835774	0.013193107143063	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top100	GSM7290910	GSM7290910	Loop_of_Henle_TAL	29	84	0.271098627902993	0.291061781216349	0.0611632162248435	0.0113577241208685	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_Bonferroni	GSM7290910	GSM7290910	Loop_of_Henle_TAL	29	78	0.280386139558933	0.300685372379109	0.0650126303557239	0.0120725423796858	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_FDR05	GSM7290910	GSM7290910	Loop_of_Henle_TAL	29	335	0.25359986123788	0.264068075221774	0.037680567989188	0.00699710581545566	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_suggestive_p1e4	GSM7290910	GSM7290910	Loop_of_Henle_TAL	29	166	0.277179029533411	0.289755240108513	0.0519945024206924	0.00965513671035802	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top50	GSM7290914	GSM7290914	Fibroblast_stromal	26	40	0.12123645024189	0.124603804150963	0.0767018962858268	0.0150424794573462	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top100	GSM7290914	GSM7290914	Fibroblast_stromal	26	84	0.0980172863146643	0.081324384858099	0.0532606320783315	0.0104452693182192	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_Bonferroni	GSM7290914	GSM7290914	Fibroblast_stromal	26	78	0.0960863900504466	0.0800045571543441	0.054887198188368	0.0107642651772663	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_FDR05	GSM7290914	GSM7290914	Fibroblast_stromal	26	335	0.118223660777268	0.108524739242673	0.0367618654267607	0.00720959496796634	Driver-removed module score; donor x compartment descriptive summary.
