sample_id	patient_id	pair_id	group_curated	module_name	module_score	group_order
GSM1900706	ST29	ST29	plaque_or_stone_papilla	MAGMA_top50	0.58220082689708	1
GSM1900707	ST31	ST31	control_or_adjacent	MAGMA_top50	0.864152893759541	0
GSM1900708	ST31	ST31	plaque_or_stone_papilla	MAGMA_top50	0.0654299117190774	1
GSM1900686	ST33	ST33	control_or_adjacent	MAGMA_top50	-0.713233270294852	0
GSM1900687	ST33	ST33	plaque_or_stone_papilla	MAGMA_top50	0.0340221422908728	1
GSM1900688	ST34	ST34	control_or_adjacent	MAGMA_top50	-0.646205752781314	0
GSM1900689	ST34	ST34	plaque_or_stone_papilla	MAGMA_top50	-0.615089052423732	1
GSM1900710	ST35	ST35	control_or_adjacent	MAGMA_top50	0.29116250844063	0
GSM1900711	ST35	ST35	plaque_or_stone_papilla	MAGMA_top50	-0.342982510518465	1
GSM1900690	ST38	ST38	control_or_adjacent	MAGMA_top50	-0.726364491314998	0
GSM1900691	ST38	ST38	plaque_or_stone_papilla	MAGMA_top50	-0.469752482004896	1
GSM1900714	ST40	ST40	control_or_adjacent	MAGMA_top50	-0.412135404581583	0
GSM1900715	ST40	ST40	plaque_or_stone_papilla	MAGMA_top50	1.14136483295955	1
GSM1900692	ST41	ST41	control_or_adjacent	MAGMA_top50	-0.515792191834335	0
GSM1900693	ST41	ST41	plaque_or_stone_papilla	MAGMA_top50	-0.407612011910807	1
GSM1900694	ST42	ST42	control_or_adjacent	MAGMA_top50	-0.875877066989461	0
GSM1900695	ST42	ST42	plaque_or_stone_papilla	MAGMA_top50	-0.799711083050085	1
GSM1900716	ST43	ST43	control_or_adjacent	MAGMA_top50	-0.563850698688107	0
GSM1900717	ST43	ST43	plaque_or_stone_papilla	MAGMA_top50	0.0116896592657908	1
GSM1900718	ST44	ST44	control_or_adjacent	MAGMA_top50	0.318996585317082	0
GSM1900719	ST44	ST44	plaque_or_stone_papilla	MAGMA_top50	1.0277589880907	1
GSM1900720	ST45	ST45	control_or_adjacent	MAGMA_top50	0.102111030678948	0
GSM1900721	ST45	ST45	plaque_or_stone_papilla	MAGMA_top50	0.153626915642304	1
GSM1900696	ST46	ST46	control_or_adjacent	MAGMA_top50	-0.580887680629739	0
GSM1900697	ST46	ST46	plaque_or_stone_papilla	MAGMA_top50	-0.801178598623024	1
GSM1900698	ST47	ST47	control_or_adjacent	MAGMA_top50	-0.751738959398751	0
GSM1900699	ST47	ST47	plaque_or_stone_papilla	MAGMA_top50	-0.585348624470553	1
GSM1900722	ST48	ST48	control_or_adjacent	MAGMA_top50	-0.0745906957974189	0
GSM1900723	ST48	ST48	plaque_or_stone_papilla	MAGMA_top50	-0.0621825590810071	1
GSM1900700	ST49	ST49	control_or_adjacent	MAGMA_top50	-0.63890856185638	0
GSM1900701	ST49	ST49	plaque_or_stone_papilla	MAGMA_top50	-0.536106754545665	1
GSM1900724	ST50	ST50	control_or_adjacent	MAGMA_top50	0.0278870720728749	0
GSM1900725	ST50	ST50	plaque_or_stone_papilla	MAGMA_top50	-0.0912022827559523	1
GSM1900726	ST52	ST52	control_or_adjacent	MAGMA_top50	0.196448972382991	0
GSM1900727	ST52	ST52	plaque_or_stone_papilla	MAGMA_top50	0.553337277641611	1
GSM1900728	ST53	ST53	control_or_adjacent	MAGMA_top50	1.15818848653854	0
GSM1900729	ST53	ST53	plaque_or_stone_papilla	MAGMA_top50	0.408066745112572	1
GSM1900730	ST54	ST54	control_or_adjacent	MAGMA_top50	0.756109693544078	0
GSM1900731	ST54	ST54	plaque_or_stone_papilla	MAGMA_top50	0.882902948775776	1
GSM1900733	ST56	ST56	control_or_adjacent	MAGMA_top50	0.807881069693827	0
GSM1900734	ST56	ST56	plaque_or_stone_papilla	MAGMA_top50	0.942283296460046	1
