module_name	gene	mean_expression_loop_tal	detection_fraction_loop_tal	mean_expression_other_compartments	loop_tal_specificity_ratio	approx_contribution_rank	curated_exemplar	known_tal_marker	known_transport_or_calcium_gene	notes
MAGMA_top100	TLN2	0.939733691093119	0.648148148148148	0.513005575603082	1.83181964281102	12	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	PPP2R1B	0.196675171494277	0.188888888888889	0.198886035318546	0.988883765470955	32	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	TBX2	0.0950933298421989	0.0888888888888889	0.22965553895698	0.414069396540629	29	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	LMAN2	0.195916388466191	0.187037037037037	0.224942172245683	0.870963353111247	22	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	PTGER1	0.0845139580624093	0.0703703703703704	0.0782844657927967	1.0795750744027	32	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	DGKD	0.108858696208446	0.107407407407407	0.164332080205264	0.662431196696598	28	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	CHAF1B	0.0256299971427904	0.0277777777777778	0.0152609442542707	1.67945023822282	37	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	HIBADH	1.35391839007609	0.775925925925926	0.378410905219711	3.57790531092671	4	yes	no	yes	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	PDILT	0.0503513220523917	0.05	9.84129549091115e-05	511.627879388577	34	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	TFAP2B	0.473711028575682	0.383333333333333	0.0751133689140872	6.30661399052526	15	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	UGT8	1.10378288671157	0.67962962962963	0.131042129219398	8.4231146568173	6	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	CASR	1.6742806260509	0.846296296296296	0.117068784577945	14.3016827140156	1	yes	no	yes	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	RNLS	0.456035133419452	0.335185185185185	0.250593516183823	1.81982015953321	16	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	DGKH	0.4981209849605	0.37037037037037	0.690201904698225	0.721703289788209	13	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	MINDY4	0.169104731277949	0.162962962962963	0.152979132212618	1.10541044864543	25	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top50	CLDN14	0.537357770478667	0.411111111111111	0.0236052186415618	22.7643622740345	12	yes	no	yes	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
