analysis_level	module_name	signature_name	n_observations	correlation_method	correlation	p_value	fdr_bh	interpretation	notes
paired_difference_level	MAGMA_top100	Loop_TAL_transport_proxy	26	Spearman	0.453675213675214	0.0199195676673265	0.0296031420599455	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_top100	collecting_duct_proxy	55	Spearman	0.678066378066378	1.2908842896502e-08	1.95588528734879e-08	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_top100	collecting_duct_proxy	26	Spearman	0.481025641025641	0.0128570185091863	0.0214283641819772	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_top100	fibroblast_stromal_ECM	55	Spearman	0.821500721500721	1.54583195990745e-14	2.65276708544331e-13	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_top100	fibroblast_stromal_ECM	26	Spearman	0.594529914529914	0.00136000803773546	0.00453336012578486	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_top100	fibrosis_remodeling	55	Spearman	0.786580086580086	1.09797055941044e-12	4.57487733087685e-12	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_top100	fibrosis_remodeling	26	Spearman	0.504273504273504	0.00861702575505009	0.0179521369896877	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_top100	endothelial_proxy	55	Spearman	0.807792207792208	9.1350189385771e-14	9.1350189385771e-13	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_top100	endothelial_proxy	26	Spearman	0.732649572649573	2.08192323245854e-05	0.000520480808114636	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_top100	immune_proxy	55	Spearman	0.666883116883117	2.71412558234095e-08	3.76961886436243e-08	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_top100	immune_proxy	26	Spearman	0.344273504273504	0.0850297323293271	0.0988717817782873	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
