sample_id	section_id	module_name	predicted_compartment	n_spots	mean_module_score	median_module_score	sd_module_score	iqr_module_score	median_prediction_score_max	notes
GSM7166168_inferred_from_archive	V12Y24.346_XY01_462	MAGMA_top100	Injured/undifferentiated epithelial	216	0.19148873835803	0.194254544331582	0.0477824378321381	0.0546776524752408	0.974323684887581	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_462	MAGMA_top50	Collecting duct	46	0.246729866588656	0.252302980002916	0.0784680042023631	0.082603756380044	0.830312761363538	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_462	MAGMA_top50	Injured/undifferentiated epithelial	216	0.228990163954807	0.235565787570233	0.0631936095218964	0.0804166163246062	0.974323684887581	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_475	MAGMA_Bonferroni	Injured/undifferentiated epithelial	257	0.175102998443094	0.185221262016942	0.0715132122026972	0.0965536821414709	0.985203046262826	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_475	MAGMA_Bonferroni	Collecting duct	42	0.0434554246332661	0.0384007270264204	0.0443412118666716	0.074069413272499	0.748345738022626	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_475	MAGMA_FDR05	Injured/undifferentiated epithelial	257	0.181888270636874	0.199792274527616	0.0617253778889506	0.0993341216199493	0.985203046262826	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_475	MAGMA_FDR05	Collecting duct	42	0.0481332524680067	0.0427607585017442	0.0273219216501587	0.0416836224555099	0.748345738022626	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_475	MAGMA_suggestive_p1e4	Injured/undifferentiated epithelial	257	0.173698415977129	0.190497196021995	0.065100980308374	0.101201029471309	0.985203046262826	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_475	MAGMA_suggestive_p1e4	Collecting duct	42	0.0402636029777193	0.0404036591884231	0.0284531934779292	0.0404302245237856	0.748345738022626	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_475	MAGMA_top100	Injured/undifferentiated epithelial	257	0.166759160750264	0.177893637722586	0.0683775622344177	0.0915675203501149	0.985203046262826	Predicted broad-compartment context only; not true cell fraction or histological ROI.
