module_name	donor_id	sample_id	compartment	n_nuclei	n_genes_used	mean_module_score	median_module_score	sd_module_score	se_module_score	detection_fraction_mean	notes
MAGMA_top100	GSM7290912	GSM7290912	Fibroblast_stromal	1733	90	0.188822312595797	0.193105158660756	0.0748435712984158	0.00179785731363665	0.125940886067834	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top100	GSM7290912	GSM7290912	Injured_undifferentiated_epithelial	55	90	0.158847508340954	0.157313577118562	0.065471159507187	0.0088281293470109	0.0848484848484848	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top100	GSM7290912	GSM7290912	Loop_of_Henle_TAL	244	90	0.313414324597887	0.316293514090474	0.0655884534183698	0.00419887046765608	0.20787795992714	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top100	GSM7290912	GSM7290912	Pericyte_smooth_muscle	14	90	0.191884913975425	0.193024852503609	0.0524354983965142	0.0140139764217493	0.130952380952381	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top100	GSM7290913	GSM7290913	Collecting_duct_principal	1385	90	0.20951789157873	0.220835589061663	0.0822587332935077	0.00221033006389851	0.165503409546731	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top100	GSM7290913	GSM7290913	Endothelial	305	90	0.213474676679966	0.222016787094612	0.0653644186278772	0.00374275572297169	0.187213114754098	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top100	GSM7290913	GSM7290913	Fibroblast_stromal	761	90	0.209433188251037	0.220561592889683	0.0692459848465269	0.00251016498962097	0.171397284275077	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top100	GSM7290913	GSM7290913	Injured_undifferentiated_epithelial	1727	90	0.12653410317393	0.109163704087809	0.0750315079402306	0.00180550005484671	0.0671813678183105	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top100	GSM7290913	GSM7290913	Loop_of_Henle_TAL	263	90	0.365040499778777	0.368689336170081	0.0556584784226786	0.00343204880685767	0.243810730882974	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top100	GSM7290913	GSM7290913	Pericyte_smooth_muscle	21	90	0.220602137473924	0.210153233445934	0.0404000608622126	0.00881601604675772	0.161375661375661	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top100	GSM7290914	GSM7290914	Collecting_duct_principal	10898	90	0.176518568372194	0.183887604930599	0.0822893507371152	0.000788261352170783	0.123478314063743	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top100	GSM7290914	GSM7290914	Endothelial	1172	90	0.177919070070812	0.17874385335889	0.0591080683813431	0.00172656511274379	0.1056598407281	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top100	GSM7290914	GSM7290914	Fibroblast_stromal	26	90	0.102879619611058	0.0962561926800162	0.0548857209918742	0.0107639754751991	0.0435897435897436	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top100	GSM7290914	GSM7290914	Injured_undifferentiated_epithelial	13	90	0.145192734527375	0.135835850397274	0.0621674288956047	0.017242142503605	0.0658119658119658	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top100	GSM7290914	GSM7290914	Loop_of_Henle_TAL	4	90	0.265657219805234	0.244193999728014	0.0938500285011453	0.0469250142505727	0.177777777777778	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top50	GSM7290910	GSM7290910	Collecting_duct_principal	6318	46	0.12929092205724	0.120344070952643	0.0971604813648797	0.00122236201862097	0.0714796922526391	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top50	GSM7290910	GSM7290910	Endothelial	271	46	0.192578511894836	0.192081398013175	0.0785455458124696	0.00477130211403452	0.143590566340446	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top50	GSM7290910	GSM7290910	Fibroblast_stromal	902	46	0.196057791853957	0.203978199523315	0.0973507931194943	0.00324142685058759	0.141689964330473	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top50	GSM7290910	GSM7290910	Injured_undifferentiated_epithelial	566	46	0.245811375694078	0.268275535684167	0.11404347891669	0.00479360496466719	0.185435550775849	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top50	GSM7290910	GSM7290910	Loop_of_Henle_TAL	29	46	0.3980713845059	0.417377652066614	0.0775383827875505	0.0143985162134359	0.31784107946027	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top50	GSM7290910	GSM7290910	Pericyte_smooth_muscle	113	46	0.232839790357707	0.23790725866071	0.0832469746570166	0.0078312166289656	0.180454020777222	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top50	GSM7290912	GSM7290912	Collecting_duct_principal	16248	46	0.193898275898926	0.191315126318334	0.114443327097883	0.00089782257243164	0.128512137948751	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top50	GSM7290912	GSM7290912	Endothelial	810	46	0.215693025276237	0.218578472580428	0.0853464691562815	0.00299876925319065	0.163660762211487	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top50	GSM7290912	GSM7290912	Fibroblast_stromal	1733	46	0.203303688701577	0.209242565553005	0.0920898886645838	0.00221214029442114	0.138086755814245	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top50	GSM7290912	GSM7290912	Injured_undifferentiated_epithelial	55	46	0.184782778601175	0.169214718458688	0.0957402241855547	0.0129096091956202	0.0984189723320158	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top50	GSM7290912	GSM7290912	Loop_of_Henle_TAL	244	46	0.363367935726546	0.36052988596687	0.091476429324263	0.00585617829904035	0.245545260156807	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top50	GSM7290912	GSM7290912	Pericyte_smooth_muscle	14	46	0.199488743359739	0.197279604808525	0.0637618951366371	0.0170410832809074	0.139751552795031	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top50	GSM7290913	GSM7290913	Collecting_duct_principal	1385	46	0.234962525144901	0.249552163469315	0.0999755440871573	0.00268638893285627	0.185747920263695	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top50	GSM7290913	GSM7290913	Endothelial	305	46	0.220683626577738	0.218937244319213	0.0831215139078037	0.00475952404092554	0.190306486101212	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top50	GSM7290913	GSM7290913	Fibroblast_stromal	761	46	0.241934749226386	0.248527494321926	0.0880178758466903	0.00319064550675169	0.194595212249329	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top50	GSM7290913	GSM7290913	Injured_undifferentiated_epithelial	1727	46	0.162021394186119	0.14049675255982	0.101996010578582	0.0024543529478372	0.082399738173762	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top50	GSM7290913	GSM7290913	Loop_of_Henle_TAL	263	46	0.42800470971909	0.435711371045436	0.0856071878328089	0.00527876534153182	0.287650851380394	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top50	GSM7290913	GSM7290913	Pericyte_smooth_muscle	21	46	0.23840454202292	0.223711983965174	0.0674612419182119	0.0147212498840921	0.173913043478261	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top50	GSM7290914	GSM7290914	Collecting_duct_principal	10898	46	0.207749953134244	0.216265702999905	0.107548262745534	0.0010302200498123	0.141860891906772	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top50	GSM7290914	GSM7290914	Endothelial	1172	46	0.175623609296063	0.177954501828745	0.0740795134222073	0.00216388569185911	0.103576198248998	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top50	GSM7290914	GSM7290914	Fibroblast_stromal	26	46	0.127721124439979	0.118971384271675	0.0829152563020847	0.0162610196099568	0.0535117056856187	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top50	GSM7290914	GSM7290914	Injured_undifferentiated_epithelial	13	46	0.147407588369788	0.116115099853789	0.125285794717628	0.034748027457051	0.0635451505016722	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top50	GSM7290914	GSM7290914	Loop_of_Henle_TAL	4	46	0.305653749506964	0.2609958282988	0.157555009480694	0.0787775047403471	0.206521739130435	Descriptive donor x compartment summary; no cell-level significance test.
