gene	twas_z	twas_p	twas_fdr	reference_tissue	n_model_snps	model_class	magma_overlap	current_exemplar_gene	interpretation_class	notes
NFKBIZ	2.8153772354126	0.00487200072406283	0.186229104599914	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
BRI3	-2.81150722503662	0.00493099832839969	0.187283713581193	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CEP68	2.80421018600464	0.00504400112850348	0.190363156514344	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
RNF5	2.79537224769592	0.00518399860269056	0.194416249483295	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
AP000350.5	-2.79046424137648	0.005263251375945	0.19615479971725	GTEx_v8_Kidney_Cortex	2	multi_snp_model	no	no	not_fdr_supported	proxy only
PAM16	-2.78638219833374	0.00532999870035473	0.197408585405064	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
TMA7	-2.78299283981323	0.00538599947628103	0.198251326401628	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
TYW5	2.77143383026123	0.00558100141952427	0.204168781991553	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
RPL13A	2.76415753364563	0.00570699792565966	0.207505052626272	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ATRIP	2.74669003486633	0.00601999991892727	0.215417832780365	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
FABP2	-2.74663543701172	0.00602100204633186	0.215417832780365	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
HLA-DQA2	-2.74598240852356	0.00603299984476287	0.215417832780365	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
