record_type	packaging_source_file	donor_id	sample_id	compartment	n_nuclei	percent_within_donor	notes	module_name	loop_tal_mean_score	other_compartments_mean_score	loop_tal_minus_other	loop_tal_rank_within_donor	n_loop_tal_nuclei	n_other_nuclei	donor_subset	statistic_name	n_observed_genes_used	n_random_sets_successful	observed_value	random_median	random_p025	random_p975	observed_minus_random_median	observed_percentile	empirical_p_one_sided	benchmark_support_class	full_4_donor_value	exclude_GSM7290914_value	donors_loop_tal_ge20_value	donors_loop_tal_ge50_value	interpretation	original_value	driver_removed_value	absolute_change	percent_change	n_driver_removed_genes_used
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_Bonferroni							leave_one_out_exclude_GSM7290914	n_donors_loop_tal_top_rank	84	1000	3	2	0	3	1	100	0.458541458541459	partial_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_Bonferroni							min_loop_tal_ge20	mean_loop_tal_minus_other	84	1000	0.184381323754809	0.0693333409112872	0.0308083380126283	0.119630702047332	0.115047982843522	100	0.000999000999000999	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_Bonferroni							min_loop_tal_ge20	median_loop_tal_minus_other	84	1000	0.195369917230528	0.0631920047688781	0.0219479854819923	0.111354960276308	0.13217791246165	100	0.000999000999000999	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_Bonferroni							min_loop_tal_ge20	n_donors_loop_tal_top_rank	84	1000	3	2	0	3	1	100	0.458541458541459	partial_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_Bonferroni							min_loop_tal_ge50	mean_loop_tal_minus_other	84	1000	0.171158004600998	0.0563695213269083	0.0205169520341547	0.10311944377237	0.114788483274089	100	0.000999000999000999	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_Bonferroni							min_loop_tal_ge50	median_loop_tal_minus_other	84	1000	0.171158004600998	0.0563695213269083	0.0205169520341547	0.10311944377237	0.114788483274089	100	0.000999000999000999	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_Bonferroni							min_loop_tal_ge50	n_donors_loop_tal_top_rank	84	1000	2	1	0	2	1	100	0.473526473526474	partial_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_FDR05							exclude_GSM7290914	mean_loop_tal_minus_other	341	1000	0.100898794297869	0.0711888946777709	0.0499406018101312	0.0947624734415162	0.0297098996200977	99.2	0.00899100899100899	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_FDR05							exclude_GSM7290914	median_loop_tal_minus_other	341	1000	0.0959727495597771	0.0631115264399188	0.0414399859494017	0.0875620037475152	0.0328612231198583	99.5	0.00599400599400599	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_FDR05							exclude_GSM7290914	n_donors_loop_tal_top_rank	341	1000	3	3	1	3	0	100	0.704295704295704	not_supported										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_FDR05							full_4_donors	mean_loop_tal_minus_other	341	1000	0.0866872553115456	0.0612110515861532	0.0412473321230608	0.0836160684779567	0.0254762037253924	98.5	0.015984015984016	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_FDR05							full_4_donors	median_loop_tal_minus_other	341	1000	0.0849013643741453	0.0576435548780486	0.0385743563513566	0.0799771423680747	0.0272578094960966	99.2	0.00899100899100899	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_FDR05							full_4_donors	n_donors_loop_tal_top_rank	341	1000	4	4	1	4	0	100	0.7002997002997	not_supported										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_FDR05							leave_one_out_exclude_GSM7290910	mean_loop_tal_minus_other	341	1000	0.0712851223669558	0.0491991379386258	0.0295484107133338	0.0703114371334656	0.02208598442833	97.8	0.022977022977023	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_FDR05							leave_one_out_exclude_GSM7290910	median_loop_tal_minus_other	341	1000	0.0738299791885134	0.0521263043356049	0.0342613504430383	0.0723736844332141	0.0217036748529085	98	0.020979020979021	strong_matched_random_support										
