correlation_level	module_name	signature_name	n_observations	spearman_r	spearman_p	pearson_r	pearson_p	fdr	interpretation	notes
paired_delta_level	MAGMA_top50	collecting_duct	26	0.356581196581197	0.0737600435132292	0.372648703093183	0.0608110894565163	0.119860070708997	weak_or_uncertain	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	MAGMA_top50	endothelial	26	0.402393162393162	0.0415528679615418	0.488750218033196	0.0112898811130473	0.0829893995823866	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	MAGMA_top50	epithelial_general	26	0.267692307692308	0.18612844924082	0.332333058678346	0.097163451345466	0.225085566523782	weak_or_uncertain	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	MAGMA_top50	fibroblast_stromal	26	0.386666666666667	0.0510194671006035	0.498782645252267	0.00949437170824361	0.0947504389011207	weak_or_uncertain	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	MAGMA_top50	immune_myeloid	26	0.458461538461538	0.0184954001177917	0.49632895069186	0.00990984272632918	0.0480880403062584	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	MAGMA_top50	injury_epithelial	26	0.80034188034188	9.17891378707954e-07	0.819297254639056	3.07919716342312e-07	4.56819438834042e-05	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	MAGMA_top50	mineralization_remodeling	26	0.788034188034188	1.75699784166939e-06	0.793817897211478	1.30197329677009e-06	4.56819438834042e-05	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	MAGMA_top50	pericyte_smooth_muscle	26	0.180854700854701	0.376614906433646	0.333091219492277	0.0963565319361348	0.435199447434435	weak_or_uncertain	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	MAGMA_top50	proximal_tubule	26	0.282051282051282	0.162718673613422	0.53693689525527	0.00468037911099445	0.214310069657809	weak_or_uncertain	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	R1_MAGMA_Bonferroni_only	B_cell	26	0.280683760683761	0.164853899736776	0.451656603017482	0.0205464482414448	0.214310069657809	weak_or_uncertain	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	R1_MAGMA_Bonferroni_only	ECM_fibrosis	26	0.507692307692308	0.00810579589133731	0.551374659186433	0.00350418385092805	0.0234167436860855	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	R1_MAGMA_Bonferroni_only	LoopTAL	26	0.424957264957265	0.0304592736188176	0.650277167852265	0.000322887879453588	0.0688644447034136	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	R1_MAGMA_Bonferroni_only	T_cell	26	-0.0899145299145299	0.662246080660286	0.298233157973261	0.13892039093238	0.688735923886697	weak_or_uncertain	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	R1_MAGMA_Bonferroni_only	collecting_duct	26	0.305299145299145	0.129357471552146	0.344487676773541	0.0848230985946614	0.181799689748962	weak_or_uncertain	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	R1_MAGMA_Bonferroni_only	endothelial	26	0.622564102564103	0.00068271075823028	0.63663808850042	0.000470979890055518	0.00295841328566455	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	R1_MAGMA_Bonferroni_only	epithelial_general	26	0.311452991452991	0.121426676569339	0.347466638280449	0.0819882390248099	0.175394088377935	weak_or_uncertain	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	R1_MAGMA_Bonferroni_only	fibroblast_stromal	26	0.638974358974359	0.000442051032191598	0.647178324274295	0.000352368240694503	0.00229866536739631	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
