gene	reporting_group	curated_exemplar_flag	broad_compartment	mean_expression	detection_fraction	n_donors_detected	dominant_compartment	loop_tal_detection_fraction	loop_tal_mean_expression	notes
DZIP1	R1_MAGMA_Bonferroni_only	no	Endothelial	0.111160227058439	0.0824863174354965	4	Loop_of_Henle_TAL	0.107407407407407	0.153573251474426	descriptive single-gene expression summary; no gene-level causal inference
DZIP1	R1_MAGMA_Bonferroni_only	no	Fibroblast_stromal	0.109940483484705	0.0783167738164816	4	Loop_of_Henle_TAL	0.107407407407407	0.153573251474426	descriptive single-gene expression summary; no gene-level causal inference
DZIP1	R1_MAGMA_Bonferroni_only	no	Injured_undifferentiated_epithelial	0.119005919966715	0.085133418043202	4	Loop_of_Henle_TAL	0.107407407407407	0.153573251474426	descriptive single-gene expression summary; no gene-level causal inference
DZIP1	R1_MAGMA_Bonferroni_only	no	Loop_of_Henle_TAL	0.153573251474426	0.107407407407407	4	Loop_of_Henle_TAL	0.107407407407407	0.153573251474426	descriptive single-gene expression summary; no gene-level causal inference
DZIP1	R1_MAGMA_Bonferroni_only	no	Pericyte_smooth_muscle	0.0939862556595392	0.0608108108108108	2	Loop_of_Henle_TAL	0.107407407407407	0.153573251474426	descriptive single-gene expression summary; no gene-level causal inference
F12	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Collecting_duct_principal	0.00351698339313139	0.00269735143045712	4	Loop_of_Henle_TAL	0.00740740740740741	0.015364286746975	descriptive single-gene expression summary; no gene-level causal inference
F12	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Endothelial	0.00426706298371575	0.00390930414386239	4	Loop_of_Henle_TAL	0.00740740740740741	0.015364286746975	descriptive single-gene expression summary; no gene-level causal inference
F12	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Fibroblast_stromal	0.00557065684030282	0.00409117475160725	3	Loop_of_Henle_TAL	0.00740740740740741	0.015364286746975	descriptive single-gene expression summary; no gene-level causal inference
F12	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Injured_undifferentiated_epithelial	0.00617912483502482	0.00423549343498518	3	Loop_of_Henle_TAL	0.00740740740740741	0.015364286746975	descriptive single-gene expression summary; no gene-level causal inference
F12	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Loop_of_Henle_TAL	0.015364286746975	0.00740740740740741	2	Loop_of_Henle_TAL	0.00740740740740741	0.015364286746975	descriptive single-gene expression summary; no gene-level causal inference
F12	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Pericyte_smooth_muscle	0	0	0	Loop_of_Henle_TAL	0.00740740740740741	0.015364286746975	descriptive single-gene expression summary; no gene-level causal inference
FBXL20	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Collecting_duct_principal	0.370844354489888	0.277511549829263	4	Endothelial	0.27962962962963	0.380812947390409	descriptive single-gene expression summary; no gene-level causal inference
FBXL20	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Endothelial	0.388348041768736	0.29007036747459	4	Endothelial	0.27962962962963	0.380812947390409	descriptive single-gene expression summary; no gene-level causal inference
FBXL20	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Fibroblast_stromal	0.366361788986345	0.275569842197545	4	Endothelial	0.27962962962963	0.380812947390409	descriptive single-gene expression summary; no gene-level causal inference
FBXL20	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Injured_undifferentiated_epithelial	0.350123886780873	0.258365099534096	4	Endothelial	0.27962962962963	0.380812947390409	descriptive single-gene expression summary; no gene-level causal inference
FBXL20	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Loop_of_Henle_TAL	0.380812947390409	0.27962962962963	4	Endothelial	0.27962962962963	0.380812947390409	descriptive single-gene expression summary; no gene-level causal inference
FBXL20	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Pericyte_smooth_muscle	0.316169817638025	0.256756756756757	3	Endothelial	0.27962962962963	0.380812947390409	descriptive single-gene expression summary; no gene-level causal inference
GCKR	R1_MAGMA_Bonferroni_only	no	Collecting_duct_principal	0.0012345714284874	0.00114780911934345	4	Loop_of_Henle_TAL	0.00185185185185185	0.002929367782525	descriptive single-gene expression summary; no gene-level causal inference
GCKR	R1_MAGMA_Bonferroni_only	no	Endothelial	0.00290110093679682	0.00234558248631744	3	Loop_of_Henle_TAL	0.00185185185185185	0.002929367782525	descriptive single-gene expression summary; no gene-level causal inference
GCKR	R1_MAGMA_Bonferroni_only	no	Fibroblast_stromal	0.000284570618062759	0.000292226767971946	1	Loop_of_Henle_TAL	0.00185185185185185	0.002929367782525	descriptive single-gene expression summary; no gene-level causal inference
GCKR	R1_MAGMA_Bonferroni_only	no	Injured_undifferentiated_epithelial	0.000647488546478543	0.000847098686997035	1	Loop_of_Henle_TAL	0.00185185185185185	0.002929367782525	descriptive single-gene expression summary; no gene-level causal inference
