module_name	donor_id	sample_id	disease_status	broad_compartment	n_nuclei	n_genes_detected	mean_module_score	median_module_score	sd_module_score	sem_module_score	detection_fraction_mean	low_cell_count_flag	notes
MAGMA_suggestive	GSM7290913	GSM7290913	stone_disease	Loop_of_Henle_TAL	263	172	0.324703261411088	0.328676590222421	0.0466916913217283	0.00287913302756781	0.233442391016005	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_suggestive	GSM7290913	GSM7290913	stone_disease	Pericyte_smooth_muscle	21	172	0.230563550644686	0.222998899543727	0.0368798856445915	0.00804785083750742	0.170819490586932	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_suggestive	GSM7290914	GSM7290914	stone_disease	Collecting_duct_principal	10898	172	0.203758396444565	0.211120396427847	0.0840021491370048	0.0008046684907689	0.136592696761087	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_suggestive	GSM7290914	GSM7290914	stone_disease	Endothelial	1172	172	0.192011452407064	0.196987386982126	0.0510492445475164	0.00149116435507624	0.114518017302961	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_suggestive	GSM7290914	GSM7290914	stone_disease	Fibroblast_stromal	26	172	0.121927182956171	0.114759591461463	0.0437514335939337	0.00858036206319719	0.0518783542039356	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_suggestive	GSM7290914	GSM7290914	stone_disease	Injured_undifferentiated_epithelial	13	172	0.150980098281246	0.153386358978447	0.0515225191043375	0.0142897757285971	0.0697674418604651	yes	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_suggestive	GSM7290914	GSM7290914	stone_disease	Loop_of_Henle_TAL	4	172	0.271561454115452	0.270402280065527	0.0424578893674011	0.0212289446837006	0.181686046511628	yes	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top100	GSM7290910	GSM7290910	healthy_control	Collecting_duct_principal	6318	91	0.111111706623834	0.0967073611493743	0.0763337410252075	0.000960343798813151	0.0627737251668876	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top100	GSM7290910	GSM7290910	healthy_control	Endothelial	271	91	0.188352618114191	0.198068356953986	0.0644054782104845	0.00391235417823404	0.142086695592231	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top100	GSM7290910	GSM7290910	healthy_control	Fibroblast_stromal	902	91	0.17676313697247	0.182842190947096	0.0811274542224368	0.00270124875216618	0.12777466436003	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top100	GSM7290910	GSM7290910	healthy_control	Injured_undifferentiated_epithelial	566	91	0.213774915780461	0.229861269492075	0.0919419215834902	0.00386460721779296	0.163048965169107	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
